id,Year,Continent,Continent__colour,Country,City/State,__latitude,__longitude,PFGE,spa-type,Reference
ANS46,1982,Australia,#fd8d3c,Australia,Melbourne ,-37.8142155,144.9632307,Brazilian-like,t037,Dubin. 1992. JGM.138:169
BK2421,1996,North America,#252525,USA,New York,40.7127837,-74.0059413,Brazilian-like,t037,Kreiswirth. 1993. Science. 259:227
LHH1,1994,North America,#252525,USA,New York,40.7127837,-74.0059413,Brazilian-like,t037,de Lencastre. 1996. MDR.2:343
R35,1987,North America,#252525,USA,New Brunswick,40.4862157,-74.4518188,Brazilian-like,t037,Tillotson et al. 1989. AAC.33:541-50
GRE18,1998,Europe,#e34a33,Greece,Patras,"38.2466395	",21.734574,Brazilian,t037,Aires de Sousa. 2003. JCM. 41:2027
GRE317,1999,Europe,#e34a33,Greece,Patras,"38.2466395	",21.734574,Brazilian,t138,Aires de Sousa. 2003. JCM. 41:2027
GRE4,1998,Europe,#e34a33,Greece,Patras,"38.2466395	",21.734574,Brazilian,t037,Aires de Sousa. 2003. JCM. 41:2027
TUR9,1995,Europe,#e34a33,Turkey,Ankara,39.92077,32.85411,Brazilian-like,t030,Aires de Sousa. 2003. JCM. 41:3806
TUR1,1996,Europe,#e34a33,Turkey,Ankara,39.92077,32.85411,Brazilian-like,t030,Aires de Sousa. 2003. JCM. 41:3806
3HK,2000,Europe,#e34a33,Czech Republic,Pribram,49.685432,13.9989449,Brazilian,t030,Melter. 2003. JCM. 41:4998
TUR27,1996,Europe,#e34a33,Turkey,Ankara,39.92077,32.85411,Brazilian-like,t030,Aires de Sousa. 2003. JCM. 41:3806
HU109,1996,Europe,#e34a33,Hungary,Budapest,47.497912,19.040235,Hungarian-like,t984,Oliveira. 2001. JCM.39:574
HUR18,1997,Europe,#e34a33,Hungary,Budapest,47.497912,19.040235,Hungarian-like,t984,Oliveira. 2001. JCM.39:574
URU110,1998,South America,#006d2c,Uruguay,Montevideo,-34.9011127,-56.1645314,Brazilian,t037,Aires de Sousa. 2001. JCM. 39:2197
2A8,2001,Europe,#e34a33,Czech Republic,Prague,50.0755381,14.4378005,Brazilian,t037,Melter. 2003. JCM. 41:4998
HU25,1993,South America,#006d2c,Brazil,Rio de Janeiro,-22.9133954,-43.2007101,Brazilian,t138,Teixeira. 1995. JCM. 33:2400
BRA2,1997,South America,#006d2c,Brazil,Sao Paulo,-23.5505199,-46.6333094,Brazilian,t037,Aires de Sousa. 2001. JCM. 39:2197
CHL1,1997,South America,#006d2c,Chile,Santiago,-33.4691199,-70.641997,Brazilian,t037,Aires de Sousa. 2001. JCM. 39:2197
CHL151,1998,South America,#006d2c,Chile,Santiago,-33.4691199,-70.641997,Brazilian,t037,Aires de Sousa. 2001. JCM. 39:2197
BRA36,1997,South America,#006d2c,Brazil,Sao Paulo,-23.5505199,-46.6333094,Brazilian,t037,Aires de Sousa. 2001. JCM. 39:2197
BZ48,1997,South America,#006d2c,Brazil,Sao Paulo,-23.5505199,-46.6333094,Brazilian,t037,Aires de Sousa. 2001. JCM. 39:2197
AGT120,1998,South America,#006d2c,Argentina,Capital Federal,-34.6037232,-58.3815931,Brazilian,t037,Aires de Sousa. 2001. JCM. 39:2197
HSJ216,1997,Europe,#e34a33,Portugal,Lisbon,38.7222524,-9.1393366,Brazilian,t037,Aires de Sousa.1998. JCM. 36:2590
HGSA9,1997,Europe,#e34a33,Portugal,Oporto,41.1579438,-8.6291053,Brazilian-like,NT,Amorim. 2002. MDR.8:301
HGSA142,2003,Europe,#e34a33,Portugal,Oporto,41.1579438,-8.6291053,Brazilian,t037,Amorim. 2007. JCM.45:2881
AGT9,1997,South America,#006d2c,Argentina,Capital Federal,-34.6037232,-58.3815931,Brazilian,t037,Aires de Sousa. 2001. JCM. 39:2197
AGT67,1997,South America,#006d2c,Argentina,Capital Federal,-34.6037232,-58.3815931,Brazilian,t037,Aires de Sousa. 2001. JCM. 39:2197
URU34,1997,South America,#006d2c,Uruguay,Montevideo,-34.9011127,-56.1645314,Brazilian,t037,Aires de Sousa. 2001. JCM. 39:2197
AGT1,1997,South America,#006d2c,Argentina,Capital Federal,-34.6037232,-58.3815931,Brazilian,t037,Aires de Sousa. 2001. JCM. 39:2197
